secucode,total_volume,total_trades,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,big_order_ratio_buy,big_order_ratio_sell
000153,6887040,8386,1.350914180838212,0.06664401542607568,0.4563411857634049,0.5229852011894806,0.014833077780875384,0.34164082995468636,0.40496064870021464
000415,94860777,39533,1.3595897701744526,0.05329056075515809,1.204151574680861,1.2574421354360192,0.05846928072284291,0.34831659626135125,0.3378443325829054
000567,80907700,47411,1.2529935840470066,-0.027039416520306447,2.0,1.9729605834796935,0.08173027783511334,0.35489654299635104,0.31946172829090297
000628,3558144,11156,1.2309788473990935,-0.009237400172674326,0.5344921397222822,0.5252547395496079,0.0105641592920354,0.34985657941914666,0.3717282179992829
000729,22368555,41088,1.271116171786689,0.06696637310724807,2.0,2.066966373107248,0.08920550299292913,0.4146466121495327,0.22332554517133957
000786,11852009,29722,1.2475943108041851,0.003240716405125965,2.0,2.003240716405126,0.08338900181395408,0.3283426418141444,0.3892739384967364
001299,8536537,10957,1.237563545967176,-0.0013320389755236972,0.5965157768308156,0.5951837378552919,0.02291547497539107,0.30072100027379756,0.3650634297709227
001358,508634,2101,1.1139640684657337,-0.022994923658268995,0.4618252024048726,0.43883027874660363,-0.0016388994837152004,0.2874821513564969,0.3155640171346978
002022,7116301,8240,1.294703526452858,0.006800443095366537,0.39017475511505206,0.3969751982104186,-0.00011247416319236647,0.3520631067961165,0.3673543689320388
002030,9756283,11419,1.3497395473255542,0.09396180902091505,0.445990547834662,0.5399523568555771,0.011832108601195768,0.3371573692967861,0.35221998423679834
002046,32143358,59694,1.164180792809513,-0.03836108224909168,2.0,1.9616389177509084,0.07505464737069475,0.3261801856132945,0.2604114316346702
002114,75656056,70334,1.2563400079961875,0.04981848379725207,2.0,2.049818483797252,0.0870772327862293,0.27403531720078483,0.33032388318594136
002153,80845837,72839,1.2388673272069655,-0.007852884249315129,1.2503138287751292,1.2424609445258141,0.08206762953051003,0.2974642705144222,0.3530663518170211
002172,15256101,18935,1.2540754023587022,-0.06328602570211089,2.0,1.9367139742978892,0.07938595844377275,0.3002904673884341,0.39836282017428043
002215,13056336,16163,1.313349778988531,0.07289671466788233,1.3011027749285864,1.3739994895964687,0.05836246861294012,0.3809936274206521,0.3017385386376292
002448,10420200,15493,1.3451853131417821,0.09251261971939118,0.5992399378130937,0.6917525575324849,0.020053357900999977,0.36080810688698123,0.34989995481830505
002495,87363489,44609,1.3399562831104421,0.018599348750826583,1.2417492277580626,1.260348576508889,0.04661565885950365,0.2553744760026004,0.49559505929296777
002554,40386921,27603,1.397963736824602,0.12914784962191106,1.210098041393153,1.339245891015064,0.06030329967466448,0.2980110857515487,0.3902836648190414
002673,17873730,14369,1.3356915428396872,0.03510811677249237,1.3053542825140583,1.3404623992865505,0.04670565125466257,0.3707982462245111,0.3414294662119841
002766,8912480,6020,1.3833500888641546,0.0968284921817496,0.4330646464283791,0.5298931386101287,0.011347099797138396,0.4186046511627907,0.32906976744186045
002803,17615057,29590,1.2981370426448238,0.0906287161035017,1.2327186906065646,1.3233474067100663,0.058639424215317607,0.3801622169651909,0.2877661372085164
002825,18470292,28475,1.3043862544241314,0.022660226486944546,0.560777219981146,0.5834374464680906,0.011230217692281202,0.3384723441615452,0.3842669007901668
002830,2603600,6652,1.056844369334767,0.013827008757105519,0.4431556306652328,0.4569826394223383,-0.0007681671531725332,0.251052315093205,0.21978352375225496
002920,4324725,16783,1.189778540832076,0.014840712415240265,0.5897313702027296,0.6045720826179699,0.019278127510997813,0.2971459214681523,0.37210272299350533
002972,4866536,8484,1.1415059911197616,0.08000433984254923,0.40193270942617093,0.48193704926872016,0.007014188326152318,0.23173031588873172,0.23102310231023102
300009,11295736,10829,1.3892217381850993,0.09778707646850104,0.5588417611743051,0.6566288376428061,0.024753057259836817,0.4287561178317481,0.346200018468926
300022,8146800,6884,1.3392619187902,0.05542028772033192,0.5934477340796387,0.6488680217999706,0.02832766239505081,0.46731551423590934,0.22980825101685068
300037,15172866,42342,1.2273693710865172,0.0058835291895413255,1.328742967874362,1.3346264970639035,0.08221686001840392,0.27440838883378205,0.41552123187378964
300050,10616395,12582,1.3178394360797614,0.03233640044478381,1.2591844029917878,1.2915208034365717,0.05012418999104686,0.3644889524717851,0.3516134159910984
300115,162561490,320685,1.1948454520194174,-0.0326462681905782,2.0,1.9673537318094219,0.07747994558858928,0.3355535806164928,0.2834682008824859
300265,11282900,15087,1.302512651889142,0.061836052787847096,0.5414095666894149,0.603245619477262,0.007010573522764535,0.36402200570027177,0.3125869954265261
300271,33992299,32609,1.3239293700023054,0.04518764676669851,1.2528250295750811,1.2980126763417796,0.05341542800620811,0.4937287251985648,0.21849796068570027
300383,39518155,32963,1.3106492699368175,0.018910093348234458,2.0,2.0189100933482345,0.08863729088567014,0.38148833540636473,0.33640748718259866
300436,8188400,30667,1.1751135753016462,-0.026462434663670542,1.2546156758341067,1.2281532411704361,0.07657674270919838,0.25512766165585155,0.44363648221214985
300443,6732250,21627,1.1415574287942367,-0.00034223328010696275,1.3094804857217128,1.3091382524416058,0.04059777934568681,0.34419938040412446,0.2556526564017201
300476,33896766,164523,1.0748929263635358,-0.0947507499683008,2.0,1.9052492500316993,0.06534281175968233,0.3806580234982343,0.2460750168669426
300541,9338299,11503,1.2542469458302845,-0.00939186033773387,1.3158134045611518,1.306421544223418,0.038048899483728235,0.3575588976788664,0.30861514387551076
