secucode,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1
000153,0.06371968218567048,0.010251138370039959,0.00945834494935415,0.0,0.11264926586748443,0.055806268004832266,0.0045534801598364465,5.808010407954651e-05,0.11563458321717313,0.007193220890251835,0.0717986246631354,0.0001016401821392064,0.2803178143295233,0.0988610491590001,0.16547312052783197,0.004123687389647802
000415,0.0,0.05151096327199597,0.0,0.011421759701588782,0.0,0.15250064839759853,0.0,0.003852203318975555,0.0,0.11647477861160678,0.0,0.06429912544359614,0.0,0.48003941608026257,0.0,0.1199011051743757
000567,0.0,0.0,0.07393301255628328,0.03084859661070578,0.0,0.0,0.10988658681435759,0.0755411042459494,0.0,0.0,0.19819730384129075,0.01144952828964363,0.0,0.0,0.35866322982855775,0.14148063781321185
000628,0.1031121843298079,0.016300633139074754,0.013321551910209367,0.0003653590186344341,0.11504762033239802,0.08661819195625585,0.0031196039283401685,0.0016862723936973882,0.09562738326498309,0.004075158284768688,0.08400446974602489,0.0015176451543276494,0.21683889128714295,0.12838153824016116,0.10120444816173825,0.028779048852435426
000729,0.0,0.09782071305008302,0.0,0.031163076917574695,0.0,0.13802617111386944,0.0,0.009474326794913663,0.0,0.12752343635965757,0.0,0.08355229025746187,0.0,0.3952908446701184,0.0,0.11714914083632134
000786,0.0,0.0,0.09085717029070768,0.02095745961718389,0.0,0.0,0.09531962049640698,0.10088137800097857,0.0,0.0,0.17465182485095987,0.007544037470778161,0.0,0.0,0.37421411002978483,0.13557439924320003
001299,0.08181432353658163,0.015112685624158836,0.018033073598814134,0.00040754230901828226,0.1057403019514822,0.06827124394821929,0.005046777165026052,0.0005832575902851473,0.07518376596973692,0.0050172569977732185,0.11039851405786678,0.0022409555537567516,0.21150262688488317,0.13637743267556857,0.14585996640089535,0.01841027573593367
001358,0.170586315503879,0.03001765513119453,0.010026856246338232,0.0011167165388078657,0.09325369519143431,0.08565687704714982,0.0007864200977520182,0.0006527286811341751,0.093324473000232,0.005237557851028441,0.0994821423656303,0.0011796301466280273,0.21010785751640668,0.10479047802545642,0.08119787509289587,0.012582721564032291
002022,0.07589589029469102,0.011438667363845346,0.01579500361212939,0.00023874763026465574,0.13335593871029344,0.053173692343817386,0.006140830749008509,0.0001264701984921661,0.11361225445635309,0.003147702718027245,0.07853827430852067,8.431346566144406e-05,0.3129717250577231,0.07465957384320872,0.1181509888353514,0.002669926412612395
002030,0.05904851263539608,0.014627906960058456,0.017672611587835244,0.0001639968828292496,0.1166414504376308,0.060543856712643535,0.0062299340845278885,0.0003279937656584992,0.09751705644454962,0.004367031993639381,0.06356006688202874,0.00017424668800607773,0.3229884782964988,0.08020636547750819,0.15373918530243535,0.0021913058487540798
002046,0.07010484094412289,0.030996077012239977,0.03847479158835863,0.002391536067886871,0.08517009952724915,0.09011208474235953,0.008672429308723749,0.0033802628835481346,0.0769752805540728,0.0070308459993507835,0.10930457234741933,0.002744268349311855,0.18288201251406278,0.12402366299127801,0.14470893177993413,0.023028303390081398
002114,0.0,0.0,0.09722477470937686,0.023405409872277773,0.0,0.0,0.09398925051023015,0.07757422617959361,0.0,0.0,0.1729194950368547,0.009117948204965904,0.0,0.0,0.37198402200611674,0.15378487348058428
002153,0.0,0.0,0.09166495486959954,0.021866926802922456,0.0,0.0,0.12713846972726622,0.06901973196220357,0.0,0.0,0.18097085196854354,0.007642050882595229,0.0,0.0,0.37662295462412,0.12507405916274947
002172,0.06461028279768205,0.01165435388766763,0.022141961435625,3.2773773587366785e-05,0.1838805340892801,0.06518048091055506,0.0059451625287483345,0.00010487607547957371,0.09746264789411134,0.00562397954759214,0.07275771181640708,0.0,0.2773775553793201,0.08679150721406471,0.10517110498940718,0.001265067660472358
002215,0.06923358896400951,0.02284431099199653,0.013426431427622574,0.00039827406402531305,0.08798027256651483,0.07787789775018045,0.00599708831022731,0.0005820928628062268,0.0961602091122655,0.007485790806854235,0.07502097066129426,0.0007965481280506261,0.2304015460386436,0.1331231059004609,0.16790315445313295,0.010768717961915196
002448,0.05125621389224775,0.015748258190821672,0.010671580199996162,0.0002974990883092455,0.08425941920500567,0.08046870501525882,0.006842479031112647,0.0003838697913667684,0.09184084758449934,0.004923130074278805,0.07039212299188115,0.0007005623692443523,0.2507725379551256,0.14621600353160208,0.16203143893591293,0.02319533214333698
002495,0.041951151928009654,0.015172242033511276,0.01580172696628451,4.738821729063499e-05,0.12159984819287609,0.07458318199722999,0.006135503585485236,0.0002063447809416128,0.08640566083618753,0.009900245627781646,0.08192685619504048,0.000417107883591966,0.27270431014951796,0.14340979445086036,0.1252920885520037,0.0044465486033873946
002554,0.0,0.0654248438498196,0.0,0.011152645184315982,0.0,0.17780508694881692,0.0,0.003755646537154937,0.0,0.09161255447029497,0.0,0.057236475145010436,0.0,0.4583352863170728,0.0,0.13467746154751437
002673,0.0,0.06665855420217269,0.0,0.020525710078422355,0.0,0.21760779647001494,0.0,0.006010441021543908,0.0,0.06807051466034231,0.0,0.09001322051972364,0.0,0.3484743251688372,0.0,0.18263943787894302
002766,0.052752320341812826,0.010378704917149885,0.01230858302066316,0.0,0.10085251243200546,0.044690142362170795,0.00319776313663537,0.0003253864244295639,0.08906903577904242,0.00319776313663537,0.09453036640755436,8.976177225643143e-05,0.3447047286501625,0.05592158411575678,0.18459284060104483,0.0033885069026802863
002803,0.08160001980124162,0.01791796643065078,0.018433264223896635,0.0005563422247228607,0.08003380289941724,0.06765172545283277,0.005040460555989118,0.0016292879438312348,0.11360559321494106,0.0045819891471256665,0.07217688821557602,0.0010821423967007316,0.3130223762545872,0.09363648383312072,0.10901469123829688,0.020016966167069456
002825,0.06073558555544222,0.02057731409985289,0.014666579174817593,0.0006117932515631047,0.08525652978307002,0.07462664910765894,0.003786512958214196,0.0004847784756191185,0.10650172720604525,0.010184354421684291,0.09740912596292468,0.0015791304219770863,0.25027227506744343,0.13155038371889302,0.12637888994933053,0.015378370845463623
002830,0.15624519895529268,0.024581348901520972,0.041288984483023504,0.0026885850361038563,0.10792748502074051,0.0557689353203257,0.006759870947918267,0.0015747426640036872,0.09191119987709326,0.0049162697803041945,0.07643263174066676,0.002074051313565832,0.2750422491934245,0.07501152250729759,0.0702488861576279,0.007528038101090797
002920,0.13303897935706896,0.024001526108596502,0.022424547225546133,0.0010636514460457024,0.11233893484556821,0.09558850562752545,0.004677291619698362,0.0022429171797050678,0.0706803322754626,0.004532542531606056,0.08861788899872246,0.0019423200319095434,0.16839405973790242,0.13399649688708531,0.1023505540814734,0.03410945204608386
002972,0.14235793180200454,0.02343350588591146,0.022171828175112648,0.0007808428829048013,0.1013435429225223,0.03925461560337785,0.003924762911442553,0.000308227453778211,0.08547763748177348,0.004311074653511245,0.0778471586360401,0.0006781003983120643,0.3161427347912355,0.05022052646892985,0.12688450265239998,0.004863007280743428
300009,0.04651781875922029,0.017799105786466683,0.013713758890965582,0.0,0.10888365308820958,0.08158999112585492,0.008664242861200013,0.0002744398417243462,0.06657149210994308,0.004066932867411208,0.09933243836435271,0.0004521175069955601,0.2391580327302267,0.11275236956671084,0.19543418861772266,0.004789417882995849
300022,0.06220847449305249,0.01266755044925615,0.015417096283203221,0.0001227475818726371,0.11912652820739432,0.06671331074777827,0.006628369421122404,0.000810134040359405,0.08322286050964796,0.0032159866450630925,0.09776857170913733,0.0003436932292433839,0.1966539009181519,0.11276820346639171,0.18187496931310454,0.04045760298522119
300037,0.0,0.0,0.1199107011160581,0.023153634916435694,0.0,0.0,0.1204683413140273,0.08430325556160582,0.0,0.0,0.17058332947776642,0.00996766200927366,0.0,0.0,0.31311843128384576,0.15849464432098723
300050,0.060650531559912756,0.015476063202245207,0.018679504671783594,0.00010361332636926188,0.13770258171441435,0.04771826971396599,0.0070825360209374275,0.00017896847281963416,0.09956336402328662,0.005717194961189745,0.08547157486133476,0.00012245211298185496,0.30458550195240475,0.08356885741346286,0.13044955467463296,0.0029294313182582224
300115,0.0,0.0,0.0,0.12764392723024376,0.0,0.0,0.0,0.19496452696145933,0.0,0.0,0.0,0.1893438661272113,0.0,0.0,0.0,0.4880476796810856
300265,0.07297184234549628,0.01529553572219908,0.02086369639011247,0.0003545187850641236,0.08604055694901133,0.06318295828200196,0.004602806016183783,0.00036019108562514954,0.10653555380265711,0.006587136285883948,0.09143624422799103,0.0006735856916218348,0.28877699882122504,0.11497638018594511,0.11306942364108519,0.014272571767896551
300271,0.0,0.08210577342826973,0.0,0.014026706460778072,0.0,0.1763908642954688,0.0,0.012079206528514002,0.0,0.12821551140156776,0.0,0.05992286664694259,0.0,0.39480295228045625,0.0,0.1324561189580028
300383,0.0,0.07844022576458845,0.0,0.019558504186240475,0.0,0.19206835440571554,0.0,0.009035998770691597,0.0,0.10395186718610724,0.0,0.0828000699931462,0.0,0.3713347953617774,0.0,0.1428101843317331
300436,0.10381820624297787,0.02322737042645694,0.011590176347027503,0.0007815934736944947,0.11940061550486053,0.07586341654047189,0.0034677104196179963,0.0007449562796150652,0.08376483806360217,0.007828147134971424,0.0785983830785013,0.0019539836842362365,0.21586634751599823,0.11165795515607445,0.14446106687509158,0.016975233256802304
300443,0.11766957555052174,0.01835196256823499,0.03634758067510862,0.0012774332503991978,0.07214675628504587,0.08671825912584946,0.004574993501429685,0.0018862935868394668,0.07889635708715512,0.004337331501355416,0.11074573879460804,0.0008095361877529801,0.2340525084481414,0.10046418359389506,0.1165644472501764,0.015157042593486577
300476,0.0,0.0,0.0,0.1916665147347685,0.0,0.0,0.0,0.1778997441820851,0.0,0.0,0.0,0.23094837424903603,0.0,0.0,0.0,0.39948536683411034
300541,0.07079726189962433,0.019835518224464648,0.020097129038168515,0.00039943034593345104,0.11213166337895156,0.09347141272730719,0.008172473380858762,0.0016534060432205051,0.07612639089838524,0.005519527699851975,0.09274740506809645,0.001238983673579096,0.18322394688797178,0.13354316455277349,0.15299970583507766,0.02804258034573534
300599,0.0660755293824531,0.010175832286902062,0.016712269635680628,0.0002442675126118224,0.1301020554336576,0.057024049208337695,0.006557659547962913,0.00019099979265911396,0.08987601354570529,0.004350550832790929,0.06493992950409876,0.0006366659755303799,0.24501028958327453,0.11101332393331391,0.1878801293790151,0.009210434446006163
300892,0.11518741240744061,0.0086109688811645,0.01975964305577765,0.0005563568889456014,0.09822911602248616,0.050969469825984125,0.00427138514738881,0.0008973498208800023,0.10132874177376985,0.0030007378010227276,0.08724034958595382,0.0012742367456496032,0.30468615818159595,0.09951609513559224,0.08970160067466348,0.014770378051684838
300904,0.18256305210600435,0.020419920624759953,0.013890667008065549,0.0004480860325182435,0.16271924209448213,0.06113173729356036,0.004160798873383689,0.0002560491614389963,0.07867110485213161,0.004416848034822686,0.052810139546792985,0.0010241966457559851,0.21783382409422608,0.11342977851747535,0.0727819741390347,0.013442580975547305
300919,0.0,0.0,0.12423707750317045,0.026985719193624323,0.0,0.0,0.09927026648739667,0.10901043809459178,0.0,0.0,0.14565733275084722,0.006734394815308074,0.0,0.0,0.3201345797405109,0.16797019141455055
300989,0.11467381948080826,0.010824713612464044,0.016610297756959738,0.0003138247889304134,0.07447017409206005,0.04391529599954092,0.004034890143391029,0.0010087225358477573,0.11157143728166762,0.002257296874663759,0.06746560480313323,0.0007935283948669025,0.3353890351412032,0.13131325811102584,0.07130323365062514,0.014054867332812086
301045,0.13158281487287513,0.020036251408416205,0.012394062607162103,0.0002939303385097732,0.10503110762749228,0.0869054034193896,0.0020575123695684124,0.0009307794052809484,0.10552099152500857,0.008817910155293195,0.045608190858766474,0.0012247097437907215,0.28134032234360457,0.10067114093959731,0.08626855435261843,0.011316318032626267
301081,0.10620489374886319,0.02933865231282094,0.014623083096723012,0.00015414353229152857,0.10030530695629208,0.04223532784787883,0.006936458953118786,0.0008426513098603563,0.12533924422398493,0.0075530330822849,0.04825617421918594,0.0006679553065966239,0.3252531293706114,0.08758435504804654,0.1035238239105392,0.0011817670809017192
