secucode,total_volume,total_trades,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect
000153,6887040,8386,1.4653465059009385,0.1809805083170709,0.4319620620760152,0.6129425703930861,0.01940340117089489
000415,94860777,39533,1.5370077982810535,0.2628137654828613,1.1994741936385362,1.4622879591213975,0.08948797457140795
000567,80907700,47411,1.3953622584747805,0.10506934445052818,1.2593198669595105,1.3643892114100387,0.1000287735283539
000628,3558144,11156,1.3421041981437514,0.08350758148068205,0.5017222462047629,0.585229827685445,0.01522389200661918
000729,22368555,41088,1.383456195538782,0.15386376098053722,1.2413388348062715,1.3952025957868086,0.07488276287851406
000786,11852009,29722,1.3979738793650935,0.1313916484538613,1.2649572743321407,1.396348922786002,0.10195770185459696
001299,8536537,10957,1.3967826766287077,0.13966822846313437,0.5474010128463099,0.6870692413094444,0.03143853297888828
001358,508634,2101,1.1969313887785715,0.029105407817802187,0.44825945571865033,0.4773648635364525,0.0039179449270005575
002022,7116301,8240,1.4050839052479653,0.12027273719872167,0.36728364918796996,0.48755638638669163,0.005738908458200404
002030,9756283,11419,1.4676123068590774,0.2097636979165119,0.4066620453711726,0.6164257432876845,0.015615188694300893
002046,32143358,59694,1.332675665062748,0.09125306696332097,0.6164121371513207,0.7076652041146416,0.024934706572972247
002114,75656056,70334,1.4051387109050464,0.1721679755550567,1.2638824577374215,1.4360504332924782,0.10515377909734021
002153,80845837,72839,1.3881651321143476,0.1169259092462609,1.2236027688104707,1.3405286780567316,0.1003394027573739
002172,15256101,18935,1.3721658633487022,0.03964984238109065,0.37807169734914575,0.4177215397302364,0.006116910211855567
002215,13056336,16163,1.4362939189064987,0.19029565415595923,0.5287700163353639,0.7190656704913232,0.027551374290612624
002448,10420200,15493,1.5042417611946028,0.24240417650333002,0.546448244755379,0.788852421258709,0.03182664440221876
002495,87363489,44609,1.4728802326106734,0.16467799265663485,0.4824564183786204,0.6471344110352553,0.022431917754566787
002554,40386921,27603,1.5164352588304515,0.2626029847633099,1.2068222284139958,1.4694252131773058,0.08304153218315406
002673,17873730,14369,1.4439294987671851,0.14941179037615537,1.299188809498633,1.4486005998747884,0.06270119331555306
002766,8912480,6020,1.5131680519900186,0.2526549288189146,0.41642505789634315,0.6690799867152577,0.02202875069565374
002803,17615057,29590,1.4171829248125625,0.18988862766666043,0.43502294656213714,0.6249115742287976,0.008282164514142645
002825,18470292,28475,1.4269886474994546,0.14375111124393702,0.515287955382622,0.659039066626559,0.018435853639996596
002830,2603600,6652,1.2030265785834997,0.08046550929482255,0.38273928406821317,0.4632047933630357,0.0010216623137194625
002920,4324725,16783,1.2583218586152878,0.05822982964234724,0.554906034487742,0.6131358641300892,0.020837533022330892
002972,4866536,8484,1.3093666624473754,0.18496565113255098,0.3613083310182027,0.5462739821507536,0.011447156663384389
300009,11295736,10829,1.4741033253610034,0.18229870103196466,0.5443849785441162,0.7266836795760808,0.03296289856632627
300022,8146800,6884,1.4413388078754847,0.1539252221731232,0.58052241370845,0.7344476358815732,0.037032920901458245
300037,15172866,42342,1.3285487395723392,0.08629048724215982,1.2759191968083026,1.3622096840504625,0.0943226151209666
300050,10616395,12582,1.426623632598448,0.13797640347782847,0.40083248598041044,0.5388088894582389,0.013933241933820287
300115,162561490,320685,1.3604037524508419,0.10373928659241499,2.0,2.103739286592415,0.09760953593621711
300265,11282900,15087,1.42160978117328,0.17167634207517568,0.4613359154118179,0.6330122574869936,0.014519972702053557
300271,33992299,32609,1.4311265913494111,0.15065062236596594,1.2184848985942374,1.3691355209602034,0.07017364138859805
300383,39518155,32963,1.4161462497426816,0.12628868933784987,1.2542047572818114,1.3804934466196612,0.06441532505755898
300436,8188400,30667,1.34954325631381,0.11733855209808997,0.49760575936690926,0.6149443114649993,0.02269320013677885
300443,6732250,21627,1.2925916298414348,0.10612291581566341,0.5163651082476141,0.6224880240632775,0.01331421144491069
300476,33896766,164523,1.2078188520993418,-0.009362751597010777,2.0,1.9906372484029893,0.07989707336682207
300541,9338299,11503,1.3866800581133674,0.10674813475130751,0.5890551373435354,0.6958032720948429,0.028997529421578804
300599,4712047,7306,1.4599062785239623,0.19943625350086702,0.47921847978171694,0.678654733282584,0.03224076500085844
300892,5571963,14622,1.3645598508102084,0.16146284532040145,0.39806689312186744,0.5595297384422688,0.010337972452437316
300904,1562200,7793,1.2001664319549352,0.052298041223915015,0.37338368966841634,0.42568173089233136,0.01197029829727308
300919,9430840,25836,1.3368819744582667,0.1274323390069177,1.3107007435180749,1.4381330825249925,0.09762095423101229
300989,4461088,8784,1.409637738596504,0.24654344411049506,0.38006647705671803,0.6266099211672131,0.012236925162650906
301045,2041300,6232,1.3152892764414834,0.12349973056385638,0.39029050115122715,0.5137902317150835,0.0011659236760887647
301081,1946238,3938,1.3672223027194004,0.18540692351089644,0.34574394292989863,0.5311508664407951,0.004943074793524738
301086,1279600,6500,1.2181541106595812,0.08830884651453585,0.44814785870584556,0.5364567052203815,0.015958111909971866
301133,7102663,15840,1.351651486210172,0.1417300806753749,0.45364675192952275,0.5953768326048976,0.011831900232349465
301310,416430,1383,1.2898062099272387,0.16184712916936816,0.3981557524674015,0.5600028816367697,0.013161395672742127
301469,633439,2224,1.246730940153669,0.18876640055317084,0.4568711430777076,0.6456375436308784,0.021059644259352514
301518,3999229,10699,1.3133956570128893,0.1177977055077366,0.5175247528961208,0.6353224584038574,0.01624763173101615
600037,17262300,13290,1.4587974951194222,0.17990847106121433,0.5578804099106145,0.7377888809718288,0.03478561952926319
