secucode,total_volume,total_trades,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_VolumeLongBig,验证_VolumeBigOrigin,订单类型总和
000153,6887040,8386,0.24816466871108633,0.1935577548554967,0.4048502694916829,0.31710284824830404,0.23124593439271443,0.010193058265960413,1.251422962549949,-0.03687215407490013,0.5687348991729393,0.5318627450980391,0.08776716847876592,0.07686320973887185,0.040690920918130286,0.03479869435926029,0.0010744819254716105,0.10487524393643713,0.07801900381005483,0.009981065886070067,0.0006824412229346715,0.10784313725490197,0.017302063005296905,0.12043490381934764,0.0025845646315398197,0.15187656816281014,0.09523394665923242,0.15188818418362607,0.005851570486014311,0.5318627450980391,1.251422962549949,0.9999999999999999
000415,94860777,39533,0.2526799669793976,0.13574649509775785,0.530612974000835,0.25332643016407086,0.3260750225564777,0.010368194643819963,1.4496524100788255,0.14218651192367948,0.6001378420081884,0.7423243539318679,0.10996723967378004,0.03568144924640455,0.027580419249570345,0.017106248244203186,0.0005924471818315383,0.04711220107336882,0.08527897678932148,0.002820849759643019,0.0005344674754245371,0.13069047494730093,0.015411005962980884,0.10578574535606007,0.0007927407130557237,0.19674622736855718,0.197804620554605,0.1276135868041646,0.008448539273508164,0.7423243539318679,1.4496524100788255,1.0
000567,80907700,47411,0.19467097692803034,0.2338134318488846,0.42537589129341213,0.28062717145586885,0.23998483457075162,0.019335032388759044,1.2792361913637391,-0.003108517483502826,0.5592820708041386,0.5561735533206358,0.08825766892397138,0.07150669219369726,0.03873237034299579,0.03519729271750402,0.0007033446754758818,0.12774197017094788,0.09277866012752803,0.011791819567235257,0.0015009819831734185,0.09196904620944607,0.008155119970039934,0.09350775018941337,0.0010390605591309604,0.1688352530105293,0.10031868413018785,0.1401303089817162,0.01609164517097878,0.5561735533206358,1.2792361913637391,1.0
000628,3558144,11156,0.1714939024390244,0.2611754892438305,0.3328982750557594,0.26887613317504855,0.2792467083962875,0.04356203683718253,1.0984659417943736,-0.09977111662709548,0.6352469152457011,0.5354757986186056,0.08086238218576876,0.13466121663429023,0.04131367364558601,0.05382019389884164,0.0046372490826678174,0.12377239369738831,0.12304167566011943,0.010370575221238939,0.003990844665083819,0.04912673573638391,0.005901953377940859,0.11126587344413268,0.005199339880566947,0.10075477552341895,0.1089894057126412,0.0934194906108353,0.02973460320886395,0.5354757986186056,1.0984659417943736,0.9999999999999999
000729,22368555,41088,0.18926519840016487,0.18245715916830568,0.4696374888766843,0.22025638222942875,0.2651528004379362,0.013317087312971267,1.3109973353218392,0.09791513130821372,0.5120433572933075,0.6099584886015212,0.09063877393957723,0.09449948823247635,0.024703205012572338,0.03902782276280251,0.0004096375469939833,0.07778088481799562,0.09145052060805894,0.012238474948426486,0.0009872787938246346,0.11054960859116737,0.005605815842820424,0.07262154394863682,0.0004882300175402479,0.2184437483780244,0.1433932589744845,0.09636854056956294,0.011431940954612401,0.6099584886015212,1.3109973353218392,1.0
000786,11852009,29722,0.22173447556443807,0.20145006639802585,0.38059420980864933,0.27842714260510604,0.26287627692486565,0.017352669914442353,1.1843729615797627,-0.04259033215381458,0.5760087593588564,0.5334184272050418,0.08566061669376053,0.09691428685212777,0.05127502012528003,0.04665521263104002,0.0013767286204389483,0.09216555606733003,0.09875119062093186,0.008989783926083754,0.0015435357836802183,0.10061087533767482,0.01083858441214481,0.10863027525544404,0.0016547405591743982,0.15165319229845337,0.10201148176650895,0.1141518707925382,0.012777664951148788,0.5334184272050418,1.1843729615797627,0.9999999999999999
001299,8536537,10957,0.21481403993211767,0.20733407469562892,0.3833184346298739,0.30449033372666223,0.26027088033473056,0.0304850784340301,1.1887849838874944,-0.03882967999787268,0.625731370929453,0.5869016909315803,0.0838639837207992,0.11072405590229387,0.03895396927348877,0.04189661451710454,0.0029588110494923174,0.10592773158483353,0.09110122758209799,0.008749566715402276,0.0015555488132951336,0.06650108820473688,0.009810652727212451,0.13490716434544828,0.003595134654720058,0.1216008318127128,0.12040503075193137,0.11893698814870714,0.02237558391652259,0.5869016909315803,1.1887849838874944,1.0
001358,508634,2101,0.1750413853576442,0.20826763448766697,0.33514865305897756,0.25988824970410945,0.2660065980646201,0.019330206002744606,1.0536063259632664,-0.04816036678633362,0.5645552597742187,0.5163948929878851,0.0725614095793832,0.18267359240632752,0.03958052351985907,0.05640204941077474,0.0028861617587499066,0.09600616553356638,0.10859675129857618,0.0013762351710660317,0.002288482484458373,0.0475784159139971,0.0022255688766382115,0.12327135032262884,0.0019660502443800453,0.1285167723746348,0.11560375436954667,0.07883861479963981,0.01218951151515628,0.5163948929878851,1.0536063259632664,1.0
002022,7116301,8240,0.21017969869458866,0.22743585466663088,0.3953315071973487,0.2554137324995106,0.2512260231825495,0.01284375126909331,1.228278567755917,-0.042284046163870825,0.5323272582202467,0.4900432120563759,0.08052211394655735,0.08930173133486062,0.039669485593709426,0.0362268262683099,0.0018548962445517692,0.11473685556583399,0.10037518086994915,0.010820228093218654,0.0015035901376290856,0.0916908939068204,0.013223161864569809,0.10429603806809183,0.0009696048551066066,0.18478701224133157,0.09795819485432108,0.10407064006989024,0.00851566003180585,0.4900432120563759,1.228278567755917,0.9999999999999998
002030,9756283,11419,0.17595256308165722,0.20598766968936838,0.4914435138874098,0.28346430705218373,0.2324536916364562,0.01311503571595863,1.3648272605458454,0.10950328111638419,0.5421480701205572,0.6516513512369414,0.08666277925722325,0.05033771570586872,0.040119787423140554,0.03504162394633284,0.0011171262662224948,0.1190963812755329,0.0768336670840729,0.00939066650690637,0.0006669548228562046,0.08328479196431673,0.011110891309733431,0.08078814441934495,0.0007687353882621076,0.21824807664968307,0.10438934581950933,0.15824387217959954,0.010562219238617821,0.6516513512369414,1.3648272605458454,0.9999999999999998
