secucode,total_volume,total_trades,buy_big_threshold,sell_big_threshold,buy_long_threshold,sell_long_threshold,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,big_order_ratio_buy,big_order_ratio_sell,long_order_ratio_buy,long_order_ratio_sell,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_复合因子,验证_传统大单,订单类型总和
000153,6887040,8386,2633.13548417069,3038.3736512750475,0.754835748651475,3.450804752130577,0.21849444754205,0.18738093578663692,0.47251939875476257,0.26590523650218384,0.18157873338909022,0.0044286079360654216,1.350914180838212,0.06664401542607568,0.4563411857634049,0.5229852011894806,0.014833077780875384,0.34164082995468636,0.40496064870021464,0.1904364416885285,0.20426901979489626,0.08654806709413623,0.017336911067744633,0.01772023975466964,0.0,0.12236025926958462,0.05917491404144596,0.00578768237152681,5.808010407954651e-05,0.12144549763033176,0.00932766471517517,0.08722760431186692,0.0004936808846761453,0.21773359817860793,0.09573924356472446,0.15516971006412045,0.0038768469473097296,0.5229852011894806,1.350914180838212,1.0000000000000002
000415,94860777,39533,12743.237304985258,11333.86033677894,0.25829583492538966,-1.4513694022581953,0.23391989504787633,0.18374965450683584,0.47096011030987023,0.0,0.795848425319139,0.20415157468086098,1.3595897701744526,0.05329056075515809,1.204151574680861,1.2574421354360192,0.05846928072284291,0.34831659626135125,0.3378443325829054,0.21564262767814232,1.0,0.0,0.09022765014880703,0.0,0.021142689986610588,0.0,0.17861370669565568,0.0,0.005135947811180167,0.0,0.15405938536640915,0.0,0.07986050968146718,0.0,0.3729476831082672,0.0,0.09801242720160304,1.2574421354360192,1.3595897701744526,1.0
000567,80907700,47411,6859.092421195123,7263.695943850878,-0.6797878468321996,-0.15422946723264674,0.2234289443402791,0.21226186135559408,0.4086513891755667,0.0,0.0,1.0,1.2529935840470066,-0.027039416520306447,2.0,1.9729605834796935,0.08173027783511334,0.35489654299635104,0.31946172829090297,1.0,1.0,0.0,0.0,0.0,0.15565780512856006,0.0,0.0,0.0,0.21226186135559408,0.0,0.0,0.0,0.2234289443402791,0.0,0.0,0.0,0.4086513891755667,1.9729605834796935,1.2529935840470066,1.0
000628,3558144,11156,841.3884592689003,1091.0459884237653,2.5434099548517057,1.2046756879771223,0.21141808763220377,0.20506646161594358,0.40724714907547305,0.22132325167278222,0.2438068835887474,0.03468100223037628,1.2309788473990935,-0.009237400172674326,0.5344921397222822,0.5252547395496079,0.0105641592920354,0.34985657941914666,0.3717282179992829,0.2214951595553962,0.2296522050914306,0.12362849845312612,0.028385585293906036,0.022905200014389525,0.0013490179149579107,0.11116919382689402,0.0890351823872221,0.003400649327289733,0.0014614360745377364,0.09436267896971005,0.007700643931218073,0.10561686092524641,0.0037379038060292107,0.17102849125836392,0.11868547197640118,0.08940054140585654,0.028132644434851427,0.5252547395496079,1.2309788473990935,1.0000000000000002
000729,22368555,41088,2776.95747718983,1875.0298664423772,-0.09313336498682023,-1.0490258927151324,0.21975983696756451,0.15930130488983307,0.44602751496464565,0.0,0.0,1.0,1.271116171786689,0.06696637310724807,2.0,2.066966373107248,0.08920550299292913,0.4146466121495327,0.22332554517133957,1.0,1.0,0.0,0.0,0.0,0.17491134317795673,0.0,0.0,0.0,0.15930130488983307,0.0,0.0,0.0,0.21975983696756451,0.0,0.0,0.0,0.44602751496464565,2.066966373107248,1.271116171786689,1.0
000786,11852009,29722,1281.0752680823302,1416.6464604865068,-1.8158395455814667,-0.3327066095747271,0.197120083185897,0.21658420947874743,0.4169450090697704,0.0,0.0,1.0,1.2475943108041851,0.003240716405125965,2.0,2.003240716405126,0.08338900181395408,0.3283426418141444,0.3892739384967364,1.0,1.0,0.0,0.0,0.0,0.1693506982655852,0.0,0.0,0.0,0.21658420947874743,0.0,0.0,0.0,0.197120083185897,0.0,0.0,0.0,0.4169450090697704,2.003240716405126,1.2475943108041851,1.0
001299,8536537,10957,2324.2349394590474,3214.478182873898,0.2810151000774397,2.9483282128640624,0.21072573105464196,0.20268347691809924,0.41207716899721747,0.3066996605297909,0.2328428963641814,0.02848660996842162,1.237563545967176,-0.0013320389755236972,0.5965157768308156,0.5951837378552919,0.02291547497539107,0.30072100027379756,0.3650634297709227,0.283289221502236,0.22497033859633112,0.10762560977595481,0.026120896564965395,0.03903831260849686,0.0017288040806242625,0.10943032285808636,0.08258489361669727,0.00953442830506094,0.0011338321382546577,0.06908878858019359,0.007433810689275991,0.13102502806465902,0.003178103720513365,0.14582611192337128,0.11670329549324275,0.12710189155157414,0.022445870029029334,0.5951837378552919,1.237563545967176,1.0
001358,508634,2101,585.3637199144467,742.0520393736894,4.9508732107722615,5.360554857321134,0.20689139931660094,0.1797599059441563,0.36365638160248825,0.19444236916918647,0.23592602932560544,0.015728401955040362,1.1139640684657337,-0.022994923658268995,0.4618252024048726,0.43883027874660363,-0.0016388994837152004,0.2874821513564969,0.3155640171346978,0.173726796763446,0.2298905283198477,0.19686847517075146,0.03558550942327882,0.01592500697947837,0.0013133215632458704,0.08126078870071604,0.09607694334236405,0.0005898150733140136,0.0018323588277622024,0.09397720168136617,0.004191619121018257,0.10734634334315048,0.0013762351710660317,0.18179673399733404,0.10007195743894431,0.07058120377324363,0.011206486392966258,0.43883027874660363,1.1139640684657337,1.0
002022,7116301,8240,2816.2618357788297,3274.4083824369136,1.0230521983764183,3.418498810498285,0.22130907616189927,0.20572513725880903,0.43383465651607483,0.23347831970570104,0.14863072823929174,0.004032853585029638,1.294703526452858,0.006800443095366537,0.39017475511505206,0.3969751982104186,-0.00011247416319236647,0.3520631067961165,0.3673543689320388,0.23155339805825242,0.1657766990291262,0.09977051279871382,0.018254005838145407,0.020867863796092942,0.00023874763026465574,0.13885050674500699,0.059159948405779914,0.007588211909529965,0.0001264701984921661,0.12110224117838748,0.006576450321592636,0.09343365324204246,0.0001967314198767028,0.25413483774786927,0.06464032367377377,0.11158859075803568,0.0034709043363961136,0.3969751982104186,1.294703526452858,1.0
002030,9756283,11419,3315.718793906475,3457.7345076189004,0.4013769148468729,1.6742896857436955,0.18014565588144582,0.2071263205464622,0.48123378544882306,0.2596228502186745,0.17436353578509356,0.006002080915446999,1.3497395473255542,0.09396180902091505,0.445990547834662,0.5399523568555771,0.011832108601195768,0.3371573692967861,0.35221998423679834,0.2648217882476574,0.20500919520098082,0.0735052478490015,0.028289769782200866,0.0291068842508976,0.000592336241168896,0.13114953717517214,0.06671649438623295,0.008788797946923024,0.00047149103813409266,0.09527327159329019,0.007998742963893114,0.07645339931201257,0.00042024201224995217,0.26008347646332114,0.07135852865276664,0.14527376870884126,0.0045180116238940585,0.5399523568555771,1.3497395473255542,0.9999999999999999
