secucode,total_volume,total_trades,big_buy_non_big_sell,non_big_buy_big_sell,big_buy_big_sell,long_buy_non_long_sell,non_long_buy_long_sell,long_buy_long_sell,VolumeBigOrigin,VolumeBig,VolumeLong,VolumeLongBig,VolumeLongBigSelect,buy_big_threshold,sell_big_threshold,buy_long_threshold,sell_long_threshold,big_order_ratio_buy,big_order_ratio_sell,long_order_ratio_buy,long_order_ratio_sell,BB0_BS0_LB0_LS0,BB0_BS0_LB0_LS1,BB0_BS0_LB1_LS0,BB0_BS0_LB1_LS1,BB0_BS1_LB0_LS0,BB0_BS1_LB0_LS1,BB0_BS1_LB1_LS0,BB0_BS1_LB1_LS1,BB1_BS0_LB0_LS0,BB1_BS0_LB0_LS1,BB1_BS0_LB1_LS0,BB1_BS0_LB1_LS1,BB1_BS1_LB0_LS0,BB1_BS1_LB0_LS1,BB1_BS1_LB1_LS0,BB1_BS1_LB1_LS1,验证_复合因子,验证_传统大单
000153,6887040,8386,0.19472806895269956,0.1730670941362327,0.5487756714060031,0.25128357030015797,0.17211167642412414,0.004283407675866555,1.4653465059009385,0.1809805083170709,0.4319620620760152,0.6129425703930861,0.01940340117089489,1917.9505693713504,2353.2915577632466,1.3742529993133874,4.946466050602145,0.38528499880753636,0.46315287383734793,0.1793465299308371,0.1921058907703315,0.06371968218567048,0.010251138370039959,0.00945834494935415,0.0,0.11264926586748443,0.055806268004832266,0.0045534801598364465,5.808010407954651e-05,0.11563458321717313,0.007193220890251835,0.0717986246631354,0.0001016401821392064,0.2803178143295233,0.0988610491590001,0.16547312052783197,0.004123687389647802,0.6129425703930861,1.4653465059009385
000415,94860777,39533,0.1807739040552029,0.15635285171657406,0.5999405212546383,0.0,0.8005258063614639,0.1994741936385362,1.5370077982810535,0.2628137654828613,1.1994741936385362,1.4622879591213975,0.08948797457140795,8267.908183181804,7668.9311455276065,0.39896144813862133,-0.6469406596239118,0.40763412844964964,0.4116560847899223,0.21058356309918297,1.0,0.0,0.05151096327199597,0.0,0.011421759701588782,0.0,0.15250064839759853,0.0,0.003852203318975555,0.0,0.11647477861160678,0.0,0.06429912544359614,0.0,0.48003941608026257,0.0,0.1199011051743757,1.4622879591213975,1.5370077982810535
000567,80907700,47411,0.20964683213093438,0.185427691060307,0.5001438676417695,0.7406801330404893,0.0,0.25931986695951065,1.3953622584747805,0.10506934445052818,1.2593198669595105,1.3643892114100387,0.1000287735283539,4987.027903859131,5003.307181478909,-0.14273132439774816,0.25189864030085385,0.4210626225981312,0.36871190230115375,1.0,0.24698909535761743,0.0,0.0,0.07393301255628328,0.03084859661070578,0.0,0.0,0.10988658681435759,0.0755411042459494,0.0,0.0,0.19819730384129075,0.01144952828964363,0.0,0.0,0.35866322982855775,0.14148063781321185,1.3643892114100387,1.3953622584747805
000628,3558144,11156,0.18522465645010433,0.20647168861069143,0.4752039265414778,0.2016500737463127,0.23537552162026046,0.0323483254190949,1.3421041981437514,0.08350758148068205,0.5017222462047629,0.585229827685445,0.01522389200661918,657.7586072409647,819.7297688453356,3.4870877789209147,1.8250460250229903,0.3862495518106848,0.4315166726425242,0.20007171029042667,0.22032986733596271,0.1031121843298079,0.016300633139074754,0.013321551910209367,0.0003653590186344341,0.11504762033239802,0.08661819195625585,0.0031196039283401685,0.0016862723936973882,0.09562738326498309,0.004075158284768688,0.08400446974602489,0.0015176451543276494,0.21683889128714295,0.12838153824016116,0.10120444816173825,0.028779048852435426,0.585229827685445,1.3421041981437514
000729,22368555,41088,0.21107572661711943,0.1475004979087831,0.5124399855064398,0.0,0.7586611651937284,0.24133883480627158,1.383456195538782,0.15386376098053722,1.2413388348062715,1.3952025957868086,0.07488276287851406,2035.8013500684021,1264.964738007333,0.5045174161459185,-0.5602359153506311,0.4717679127725857,0.2633615654205608,0.2818341121495327,1.0,0.0,0.09782071305008302,0.0,0.031163076917574695,0.0,0.13802617111386944,0.0,0.009474326794913663,0.0,0.12752343635965757,0.0,0.08355229025746187,0.0,0.3952908446701184,0.0,0.11714914083632134,1.3952025957868086,1.383456195538782
000786,11852009,29722,0.18219586232173804,0.19620099849738554,0.5097885092729849,0.7350427256678593,0.0,0.26495727433214067,1.3979738793650935,0.1313916484538613,1.2649572743321407,1.396348922786002,0.10195770185459696,937.1590285489606,1069.1626757744311,-0.6762149322186959,0.18823566576527506,0.3934459323060359,0.456597806338739,1.0,0.2811721956799677,0.0,0.0,0.09085717029070768,0.02095745961718389,0.0,0.0,0.09531962049640698,0.10088137800097857,0.0,0.0,0.17465182485095987,0.007544037470778161,0.0,0.0,0.37421411002978483,0.13557439924320003,1.396348922786002,1.3979738793650935
001299,8536537,10957,0.19284049257913366,0.17964158065501268,0.5121503016972807,0.2793383312226023,0.2247786192457199,0.02164203118899385,1.3967826766287077,0.13966822846313437,0.5474010128463099,0.6870692413094444,0.03143853297888828,1733.3074902425196,2392.8992790134225,1.4306082328724763,3.9955462801486403,0.36561102491557906,0.43780231815277904,0.24641781509537283,0.20845121839919686,0.08181432353658163,0.015112685624158836,0.018033073598814134,0.00040754230901828226,0.1057403019514822,0.06827124394821929,0.005046777165026052,0.0005832575902851473,0.07518376596973692,0.0050172569977732185,0.11039851405786678,0.0022409555537567516,0.21150262688488317,0.13637743267556857,0.14585996640089535,0.01841027573593367,0.6870692413094444,1.3967826766287077
001358,508634,2101,0.19922380336351875,0.18034972101747032,0.40867893219879126,0.19149329380261643,0.22570256805482922,0.015531796930602358,1.1969313887785715,0.029105407817802187,0.44825945571865033,0.4773648635364525,0.0039179449270005575,453.85951969577275,566.8009356183038,5.530010815832494,6.895100975360994,0.3231794383626844,0.36030461684911946,0.16944312232270348,0.21608757734412185,0.170586315503879,0.03001765513119453,0.010026856246338232,0.0011167165388078657,0.09325369519143431,0.08565687704714982,0.0007864200977520182,0.0006527286811341751,0.093324473000232,0.005237557851028441,0.0994821423656303,0.0011796301466280273,0.21010785751640668,0.10479047802545642,0.08119787509289587,0.012582721564032291,0.4773648635364525,1.1969313887785715
002022,7116301,8240,0.19538254494856247,0.19279693200161152,0.5084522141488956,0.21862509750500997,0.1424196362688987,0.003119457707030661,1.4050839052479653,0.12027273719872167,0.36728364918796996,0.48755638638669163,0.005738908458200404,2114.6271746739326,2399.8161337574375,1.6516792878285242,4.938660020661323,0.3941747572815534,0.4178398058252427,0.22075242718446603,0.1571601941747573,0.07589589029469102,0.011438667363845346,0.01579500361212939,0.00023874763026465574,0.13335593871029344,0.053173692343817386,0.006140830749008509,0.0001264701984921661,0.11361225445635309,0.003147702718027245,0.07853827430852067,8.431346566144406e-05,0.3129717250577231,0.07465957384320872,0.1181509888353514,0.002669926412612395,0.48755638638669163,1.4050839052479653
002030,9756283,11419,0.16561840200822384,0.18374323500046072,0.5591253349251964,0.24120179785682724,0.15974516114384957,0.0028575431852479066,1.4676123068590774,0.2097636979165119,0.4066620453711726,0.6164257432876845,0.015615188694300893,2366.4690664473255,2446.929432367075,1.2562586397942037,2.889739742385374,0.38488484105438303,0.40397582975742186,0.23154391803135127,0.18828268675015325,0.05904851263539608,0.014627906960058456,0.017672611587835244,0.0001639968828292496,0.1166414504376308,0.060543856712643535,0.0062299340845278885,0.0003279937656584992,0.09751705644454962,0.004367031993639381,0.06356006688202874,0.00017424668800607773,0.3229884782964988,0.08020636547750819,0.15373918530243535,0.0021913058487540798,0.6164257432876845,1.4676123068590774
